loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_facility,fst_logg
364,HD 103720,b,HD 103720 b,Radial Velocity,0,1,4.5557,0.0498,0.086,95.56689944,0.62,201.7667959,281.3940971,0,0,0,179.1716,-2.778953,41.6,9.49,V (Johnson),5017,0.79,0.73,08-01-2015,La Silla Observatory,4.43
365,HD 103774,b,HD 103774 b,Radial Velocity,0,1,5.8881,0.07,0.09,15.7932327,0.367,303.1318923,320.9141435,0,0,0,179.231628,-12.107909,56.5,7.121,V (Johnson),6489,1.33,5.410280555,14-05-2014,La Silla Observatory,4.26
366,HD 103949,b,HD 103949 b,Radial Velocity,0,1,120.878,0.439,0.19,114.8204379,0.03524,320.6077011,98.75562875,0,0,0,179.548767,-23.923887,26.52,8.69,V (Johnson),4792,0.77,52.55580228,23-05-2019,Las Campanas Observatory,4.48
367,HD 104067,b,HD 104067 b,Radial Velocity,0,1,55.806,0.26,0,141.2162432,0.16,162.319019,205.7965943,0,0,0,179.791702,-20.353781,20.38,7.93,V (Johnson),4937,0.62,0.74,06-09-2018,La Silla Observatory,4.49
368,HD 10442,b,HD 10442 b,Radial Velocity,0,1,1032.3,2.01,0.132,20.47403531,1.487,226.2009404,206.8824303,0,0,0,25.471457,2.704376,135.89,7.84,V (Johnson),4912,1.01,1.97,06-12-2018,W. M. Keck Observatory,3.19
369,HD 104985,b,HD 104985 b,Radial Velocity,0,1,199.505,0.95,0.09,292.579808,8.3,58.37282966,328.4429547,0,0,0,181.312988,76.905731,100.86,5.8,V (Johnson),4877,2.3,11,14-05-2014,Okayama Astrophysical Observatory,2.85
370,HD 106252,b,HD 106252 b,Radial Velocity,0,1,1531,2.61,0.48,183.2619182,6.93,143.350657,200.1897941,0,0,0,183.372955,10.041638,38.23,7.408,V (Johnson),5874,1.01,1.1,06-09-2018,Lick Observatory,4.36
371,HD 106270,b,HD 106270 b,Radial Velocity,0,1,1888,3.34,0.185,176.1177249,10.13,324.206756,292.1907669,0,0,0,183.40535,-9.513381,94.06,7.58,V (Johnson),5509,1.39,2.66,06-12-2018,W. M. Keck Observatory,3.72
372,HD 106315,b,HD 106315 b,Transit,0,2,9.55237,0.0907,0.093,87.54,0.03964,0.218,4.7,0,0,1,183.472473,-0.393484,109,8.951,V (Johnson),6327,1.09,1.3,25-07-2019,K2,4.25
373,HD 106315,c,HD 106315 c,Transit,0,2,21.05704,0.1536,0.22,88.61,0.04782,0.388,1.01,0,0,1,183.472473,-0.393484,109,8.951,V (Johnson),6327,1.09,1.3,25-07-2019,K2,4.25
