DOY,Dew Point (°C),Surface Air Temp (°C),Surface pressure (mB),Water Partial Pressure (mB),Relative Humidity (%),Sol,Solar_Longitude_LS,Relative Humidity,Vapour Pressure (mB)
136,-0.1,23.6,897.7,6.2,21,167.0,227.85151244744569,0.21,29.523809523809533
137,-3.7,17.1,896.2,4.8,24,168.0,227.85151244744569,0.24,20.0
138,-1.4,20.4,899.6,5.7,23,168.0,227.85151244744569,0.23,24.78260869565217
139,-4.0,22.1,897.5,4.7,17,170.0,227.85151244744569,0.17,27.64705882352941
140,2.4,14.3,893.6,7.4,45,171.0,227.85151244744569,0.45,16.444444444444443
141,-3.4,19.0,896.2,4.9,22,172.0,227.85151244744569,0.22,22.272727272727273
142,-3.0,16.9,890.9,5.0,26,173.0,227.85151244744569,0.26,19.23076923076923
143,4.6,13.5,893.5,8.5,55,173.0,227.85151244744569,0.55,15.454545454545453
144,7.0,16.3,899.3,10.1,54,174.0,227.85151244744569,0.54,18.703703703703702
145,3.5,22.6,900.1,8.0,29,175.0,227.85151244744569,0.29,27.58620689655173
146,-1.5,25.0,895.7,5.6,17,176.0,227.85151244744569,0.17,32.94117647058823
147,2.9,14.6,895.8,7.6,45,177.0,227.85151244744569,0.45,16.88888888888889
148,-1.0,20.5,899.0,5.8,24,178.0,227.85151244744569,0.24,24.16666666666667
149,0.4,24.2,897.5,6.4,21,179.0,227.85151244744569,0.21,30.47619047619048
150,3.1,26.7,897.6,7.7,22,180.0,227.85151244744569,0.22,35.0
151,-4.6,29.5,898.0,4.5,10,105.89739537212596,227.85151244744569,0.1,45.0
152,0.1,29.0,896.8,6.3,15,105.89739537212596,227.85151244744569,0.15,42.0
153,-4.1,28.6,896.0,4.7,11,105.89739537212596,227.85151244744569,0.11,42.72727272727273
154,2.8,27.0,897.6,7.6,21,105.89739537212596,227.85151244744569,0.21,36.19047619047619
155,0.0,30.8,898.7,6.2,14,105.89739537212596,227.85151244744569,0.14,44.28571428571429
156,-1.3,33.8,899.5,5.7,10,105.89739537212596,227.85151244744569,0.1,57.0
157,3.5,34.3,899.2,8.0,14,105.89739537212596,227.85151244744569,0.14,57.14285714285714
158,-4.4,33.1,898.7,4.6,8,105.89739537212596,227.85151244744569,0.08,57.49999999999999
159,2.1,30.5,896.7,7.2,16,105.89739537212596,227.85151244744569,0.16,45.0
160,-4.9,29.6,903.0,4.4,10,190.0,227.85151244744569,0.1,44.0
161,-4.7,30.5,906.7,4.5,10,191.0,227.85151244744569,0.1,45.0
162,-6.5,34.3,905.9,3.9,7,191.0,227.85151244744569,0.07,55.71428571428571
163,3.4,36.9,904.9,7.9,12,105.89739537212596,227.85151244744569,0.12,65.83333333333334
164,0.0,37.8,900.5,6.2,9,105.89739537212596,227.85151244744569,0.09,68.8888888888889
165,2.6,35.5,896.8,7.5,12,105.89739537212596,227.85151244744569,0.12,62.5
166,4.2,35.1,897.0,8.4,14,105.89739537212596,227.85151244744569,0.14,60.0
167,0.4,37.2,897.6,6.4,10,197.0,227.85151244744569,0.1,64.0
168,-1.4,34.7,895.8,5.6,10,197.0,227.85151244744569,0.1,55.99999999999999
169,-2.7,34.5,897.6,5.1,9,105.89739537212596,227.85151244744569,0.09,56.66666666666666
170,1.5,35.5,900.3,6.9,11,200.0,227.85151244744569,0.11,62.72727272727274
171,3.2,37.8,898.4,7.7,11,201.0,227.85151244744569,0.11,70.0
172,5.6,33.2,894.1,9.2,18,202.0,227.85151244744569,0.18,51.11111111111111
173,-6.3,31.9,894.6,4.0,8,203.0,227.85151244744569,0.08,50.0
174,-6.3,30.1,901.8,4.0,9,203.0,227.85151244744569,0.09,44.444444444444436
